model_id,model_type,params,split,feature,score,rank
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,full_710,0.0249861426254,9
RF_paramset-5,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 1, 'max_features': 'sqrt'}",3,horsepower,0.0193324602309,10
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,displacement,0.266431642488,1
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_4,0.0985980524942,2
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,horsepower,0.0616769169519,3
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,year_73,0.0526777000212,4
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,weight,0.0513622381782,5
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_8,0.0491044391251,6
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_6,0.0327138320798,7
RF_paramset-6,RF,"{'min_samples_split': 5, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,orig_1,0.0304251194924,8
